,abstract
1979,"Public-private partnerships (PPPs) have been justified because they release public funds or save on distortionary taxes. However, the resources saved by a government that does not finance the upfront investment are offset by giving up future revenue flows to the concessionaire. If a PPP can be justified on efficiency grounds, the PPP contract that optimally balances demand risk, userfee distortions and the opportunity cost of public funds has a minimum revenue guarantee and a revenue cap. The optimal contract can be implemented via a competitive auction with reasonable informational requirements. The optimal revenue guarantees, revenue sharing agreements and auction mechanisms are different from those observed in the real world. In particular, the optimal contract duration is shorter in demand states where the revenue cap binds. These results also have implications for budgetary accounting of PPPs, as they show that their fiscal impact resembles that of public provision, rather than privatization.(This abstract was borrowed from another version of this item.)"
1980,"We study the sensitivity of investment to cash flow conditional on measures of q in an adjustment costs framework with costly external …nance. We present a benchmark model in which this conditional investment-cash flow sensitivity increases monotonically with the cost premium for external …- finance, for …firms in a fi…nancially constrained regime. Using simulated data, we show that this pattern is found in linear regressions that relate invest- ment rates to measures of both cash flow and average q. We also derive a structural equation for investment from the …first order conditions of our model, and show that this can be estimated directly.(This abstract was borrowed from another version of this item.)"
1981,No abstract is available for this item.
1982,"This paper presents a model of international portfolio choice based on the pattern of comparative advantage in goods trade. Countries have varying degrees of similarity in their factor endowment ratios, and are subject to aggregate productivity shocks. Risk averse consumers can insure against these shocks by investing their wealth at home and abroad. The change in relative prices after a positive shock in a particular country provides insurance to countries that have dissimilar factor endowment ratios, but is bad news for countries with similar factor endowment ratios, since their incomes will worsen. Therefore countries with similar comparative advantages have a stronger incentive to invest in one another for insurance purposes than countries with dissimilar comparative advantages. Empirical evidence linking bilateral international investment positions to a proxy for relative factor endowments supports our theory: the similarity of host and source countries in their relative capital-labor ratios has a positive effect on the source country’s investment position in the host country. The effect of similarity is enhanced by the size of host countries as predicted by the theory.(This abstract was borrowed from another version of this item.)"
1983,No abstract is available for this item.
1984,No abstract is available for this item.
1985,"Many states in Latin America, Africa and Asia lack the monopoly of violence, identified by Max Weber as the foundation of the state, and thus the capacity to govern effectively. In this paper we develop a new perspective on the establishment of the monopoly of violence and the formation of the state. We build a model to explain the incentive of central states to eliminate non-state armed actors (paramilitaries) in a democracy. The model is premised on the idea that paramilitaries may choose to and can influence elections. Since paramilitaries have preferences over policies, this reduces the incentives of the politicians they favor to eliminate them. The model also shows that while in non-paramilitary areas policies are targeted at citizens, in paramilitary controlled areas they are targeted at paramilitaries. We then investigate the predictions of our model using data from Colombia between 1991 and 2006. We first present regression and case study evidence supporting our postulate that paramilitary groups can have significant effects on elections for the legislature and the executive. Next, we show that the evidence is also broadly consistent with the implication of the model that paramilitaries tend to persist to the extent that they deliver votes to candidates for the executive whose preferences are close to theirs and that this effect is larger in areas where the Presidential candidate would have otherwise not done as well. These results illustrate that, consistent with our model, there appears to be a symbiotic relationship between some executives and paramilitaries. Finally, we use roll-call votes to illustrate a possible 'quid pro quo' between the executive and paramilitaries in Colombia.(This abstract was borrowed from another version of this item.)"
1986,"The answer is yes. By using a unique and large data set on overdraft contracts between banks and microfirms and self-employed individuals, we find robust evidence that women in Italy pay more for overdraft facilities than men. We could not find any evidence that women are riskier then men. The male/female differential remains even after controlling for a large number of characteristics of the type of business, the borrower and the market structure of the credit market. The result is not driven by women using a different type of bank than men, since the same bank charges different rates to male and female borrowers. Social capital does play a role: high levels of trust loosen credit conditions by lowering interest rates, but this benefit is not evenly distributed, as women benefit from increased social capital less than men.(This abstract was borrowed from another version of this item.)"
1987,"The authors argue that emerging economies borrow short term due to the high risk premium charged by international capital markets on long-term debt. They first present a model where the debt maturity structure is the outcome of a risk-sharing problem between the government and bondholders. By issuing long-term debt, the government lowers the probability of a liquidity crisis, transferring risk to bondholders. In equilibrium, this risk is reflected in a higher risk premium and borrowing cost. Therefore, the government faces a tradeoff between safer long-term borrowing and cheaper short-term debt. Second, the authors construct a new database of sovereign bond prices and issuance. They show that emerging economies pay a positive term premium (a higher risk premium on long-term bonds than on short-term bonds). During crises, the term premium increases, with issuance shifting toward shorter maturities. This suggests that changes in bondholders'risk aversion are important to understand emerging market crises.(This abstract was borrowed from another version of this item.)"
1988,"We study how the structure of housing finance affects the transmission of monetary policy shocks. We document three main facts: first, the features of residential mortgage markets differ markedly across industrialized countries; second, and according to a wide range of indicators, the transmission of monetary policy shocks to residential investment and house prices is significantly stronger in those countries with larger flexibility/development of mortgage markets; third, the transmission to consumption is stronger only in those countries where mortgage equity release is common and mortgage contracts are predominantly of the variable-rate type. We build a two-sector DSGE model with price stickiness and collateral constraints and analyse how the response of consumption and residential investment to monetary policy shocks is affected by alternative values of two institutional features: (i) down-payment rate; (ii) interest rate mortgage structure (variable vs. fixed rate). In line with our empirical evidence, the sensitivity of both variables to monetary policy shocks increases with lower values of the down-payment rate and is larger under a variable-rate mortgage structure. JEL Classification: E21, E44, E52(This abstract was borrowed from another version of this item.)"
1989," There is a striking increase in inequality in children's home environments over the last 50 years (McLanahan, 2004). These are measured as differences in age of mothers of young children (below 5), maternal employment, single motherhood, divorce during the first 10 years of marriage, father's involvement, and family income, for mothers with different levels of education. This trend is cause for great concern because the home environment is probably the best candidate for explaining inequality in child development. Proposals to address this problem often rely on changes to the welfare system. However, given that home environments are rooted in the experiences of each family, they are probably difficult to change if we rely only the welfare system, while more direct interventions require invading family autonomy and privacy and are notoriously difficult to enforce. Therefore, one possible alternative is to target future parents in their youth, by affecting their education, before they start forming a family. In this paper we assess the potential for such a policy, by estimating the impact of maternal education on home environments and on child outomes. We provided a unified analysis of different aspects of child development, including cognitive, noncognitive, and health outcomes, across ages. We also estimate the impact of maternal education not only on parental characteristics like employment, income, marital status, spouse's education, age at first birth, but also on several aspects of parenting practices. Our paper provides a detailed analysis of the possible mechanisms mediating the relationship between parental education and child outcomes. Finally, we compare the relative roles of maternal education and ability, and we show how the role of maternal education varies with the gender and race of the child, and with the cognitive ability of the mother. We show that maternal education has positive impacts both on cognitive skills and behavioral problems of children,(This abstract was borrowed from another version of this item.)"
1990,"We present a theory of ethnic conflict in which coalitions formed along ethnic lines compete for the economy%u2019s resources. The role of ethnicity is to enforce coalition membership: in ethnically homogeneous societies members of the losing coalition can defect to the winners at low cost, and this rules out conflict as an equilibrium outcome. We derive a number of implications of the model relating social, political, and economic indicators such as the incidence of conflict, the distance among ethnic groups, group sizes, income inequality, and expropriable resources.(This abstract was borrowed from another version of this item.)"
1991,No abstract is available for this item.
1992,"We estimate how the marginal utility of consumption varies with health. To do so, we develop a simple model in which the impact of health on the marginal utility of consumption can be estimated from data on permanent income, health, and utility proxies. We estimate the model using the Health and Retirement Study’s panel data on the elderly and near-elderly, and proxy for utility with measures of subjective well-being. We find robust evidence that the marginal utility of consumption declines as health deteriorates. Our central estimate is that a one-standard¬deviation increase in the number of chronic diseases is associated with an 11 percent decline in the marginal utility of consumption relative to this marginal utility when the individual has no chronic diseases. The 95 percent confidence interval allows us to reject declines in marginal utility of less than 2 percent or more than 17 percent. Point estimates from a wide range of alternative specifications tend to lie within this confidence interval. We present some simple, illustrative calibration results that suggest that state dependence of the magnitude we estimate can have a substantial effect on important economic problems such as the optimal level of health insurance benefits and the optimal level of life-cycle savings.(This abstract was borrowed from another version of this item.)"
1993,No abstract is available for this item.
1994,"We compare earnings inequality and mobility across the U.S., Canada, France, Germany and the U.K. during the late 1990s. A flexible model of earnings dynamics that isolates positional mobility within a stable earnings distribution is estimated. Earnings trajectories are then simulated, and lifetime annuity value distributions are constructed. Earnings mobility and employment risk are found to be positively correlated with base-year inequality. Taken together they produce more equalization in countries with high cross-section inequality such that the countries in our sample have more similar lifetime inequality levels than crosssection measures suggest.(This abstract was borrowed from another version of this item.)"
1995,No abstract is available for this item.
1996,"Does democracy help babies survive in sub-Saharan Africa? By using retrospective fertility surveys conducted in 28 African countries, I compare the survival of infants born to the same mother before and after democratization to identify the effect of democracy. In measuring democracy, I adopt a theoretically motivated definition of democracy: universal suffrage and contested elections for executive office. I find that infant mortality falls by 1.8 percentage points, 18 percent of the sample mean, after democratization. The size of the reduction is larger for babies born to mothers from disadvantaged groups. I also find that the replacement of a chief executive by democratization is the driving force behind these results. Additional evidence suggests that improvements in public health service delivery, not an increase in affluence, are the key mechanism in which democratization has reduced infant mortality.(This abstract was borrowed from another version of this item.)"
1997,"We examine the empirical relationship between immigration and crime across Italian provinces during the period 1990-2003. Drawing on police administrative records, we first document that the size of the immigrant population is positively correlated with the incidence of property crimes and with the overall crime rate. Then, we use instrumental variables based on immigration toward destination countries other than Italy to identify the causal impact of exogenous changes in Italy's immigrant population. According to these estimates, immigration increases only the incidence of robberies, while leaving un- affected all other types of crime. Since robberies represent a very minor fraction of all criminal offenses, the effect on the overall crime rate is not significantly different from zero.(This abstract was borrowed from another version of this item.)"
1998," What motivates religious nonprofit health care providers? This paper uses a change in financing of nonprofit health care providers in Uganda to test two theories of organizational behavior. We show that financial aid leads to more laboratory testing, lower user charges, and increased utilization. These findings are consistent with the view that religious nonprofit providers are intrinsically motivated to serve (poor) people and that these preferences matter quantitatively. (JEL: L31, I11, O15) (c) 2010 by the European Economic Association."
1999," We examine the impact of unanticipated housing capital gains on consumption behavior using data from the British Household Panel Survey and county-level house price data. We condition the models on household financial expectations and on household real financial capital gains imputed from the Family Resources Survey. We find a marginal propensity to consume out of unanticipated shocks to housing wealth of 0.01. Omitting the measure of financial expectations biases the results upward. We find little evidence of heterogeneity in responses of young and old homeowners, but differences between owners and renters. We also find asymmetric behavior between house price rises and falls, and a disproportionate impact on saving if the household had negative housing equity at the start of the period. (JEL: D91, E21, R31) (c) 2010 by the European Economic Association."
2000," We investigate the extent to which inflation expectations have been more firmly anchored in the United Kingdom-a country with an explicit inflation target-than in the United States-a country with no such target-using the difference between far-ahead forward rates on nominal and inflation-indexed bonds as a measure of compensation for expected inflation and inflation risk at long horizons. We show that far-ahead forward inflation compensation in the U.S. exhibits substantial volatility, especially at low frequencies, and displays a highly significant degree of sensitivity to economic news. Similar patterns are evident in the UK prior to 1997, when the Bank of England was not independent, but have been strikingly absent since the Bank of England gained independence in 1997. Our findings are further supported by comparisons of dispersion in longer-run inflation expectations of professional forecasters and by evidence from Sweden, another inflation-targeting country with a relatively long history of inflation-indexed bonds. Our results support the view that an explicit and credible inflation target helps to anchor the private sector's views regarding the distribution of long-run inflation outcomes. (JEL: E31, E52, E58) (c) 2010 by the European Economic Association."
2001," This paper reports on a randomized field experiment in which first-year university students could earn financial rewards for passing all first-year requirements within one year. Financial incentives turn out to have positive effects on achievement of high-ability students, whereas they have a negative impact on achievement of low-ability students. After three years these effects have increased, suggesting dynamic spillovers. The negative effects for less-able students are consistent with results from psychology and behavioral economics showing that external rewards may be detrimental for intrinsic motivation. (JEL: I21, I22, J24) (c) 2010 by the European Economic Association."
2002," We use intraday changes in money market rates to construct indicators of news about monetary policy stemming separately from policy decisions and from official communication of the European Central Bank, and study their impact on the yield curve. We show that communication may lead to substantial revisions in expectations of monetary policy and, at the same time, exert a significant impact on interest rates at longer maturities. Thereby, the maturity response pattern to communication is hump-shaped, whereas that to policy decisions is downward-sloping. (JEL: E43, E58) (c) 2010 by the European Economic Association."
2003," We study how different payment modes influence the effectiveness of gift exchange as a contract enforcement device. In particular, we analyze how horizontal fairness concerns affect performance and efficiency in an environment characterized by contractual incompleteness. In our experiment, one principal is matched with two agents. The principal pays equal wages in one treatment and can set individual wages in the other. We find that the use of equal wages elicits substantially lower efforts. This is not caused by monetary incentives per se because under both wage schemes it is profit-maximizing for agents to exert high efforts. The treatment difference instead seems to be driven by the fact that the norm of equity is violated far more frequently in the equal wage treatment. After having suffered from violations of the equity principle, agents withdraw effort. These findings hold even after controlling for the role of intentions, as we show in a third treatment. Our results suggest that adherence to the norm of equity is a necessary prerequisite for successful establishment of gift-exchange relations. (JEL: J33, D63, M52, C92, J41) (c) 2010 by the European Economic Association."
2004," In this paper we argue that government spending played a significant role in stimulating the wave of innovation that hit the U.S. economy in the late 1970s and in the 1980s, as well as the simultaneous increase in inequality and in education attainments. Since the late 1970s U.S. policymakers began targeting commercial innovations more directly and explicitly. We focus on the shift in the composition of public demand toward high-tech goods, which, by increasing the market-size of innovative firms, functions as a de facto innovation policy tool. We build a quality-ladders non-scale growth model with heterogeneous industries and endogenous supply of skills, and show that an increase in the technological content of public spending stimulates R&D;, raises the wage of skilled workers, and, at the same time, stimulates human capital accumulation. A calibrated version of the model suggests that government policy explains between 12% and 15% of the observed increase in wage inequality in the period 1976-1991. (JEL: E62, J31, O33, O41) (c) 2010 by the European Economic Association."
2005," This paper analyzes an informal financial institution that brings heterogeneous agents together in groups. We analyze decentralized matching into these groups, and the equilibrium composition of participants that consequently arises. We find that participants sort remarkably well across the competing groups, and that they re-sort immediately following an unexpected exogenous regulatory change. These findings suggest that the competitive matching model might have applicability and bite in other settings where matching is an important equilibrium phenomenon. (JEL: O12, O17, G20, D40) (c) 2010 by the European Economic Association."
2006," We study the determinants of vertical integration. We first derive a number of predictions regarding the relationship between technology intensity and vertical integration from a simple incomplete contracts model. Then, we investigate these predictions using plant-level data for the UK manufacturing sector. Most importantly, and consistent with the theoretical predictions, we find that the technology intensity of downstream (producer) industries is positively correlated with the likelihood of integration whereas the intensity of upstream (supplier) industries is negatively correlated with it. Also consistent with theory, both correlations are stronger when the supplying industry accounts for a large fraction of the producer's costs. These results are generally robust and hold with alternative measures of technology intensity, with alternative estimation strategies, and with or without controlling for a number of firm- and industry-level characteristics. (JEL: L22, L23, L24, L60) (c) 2010 by the European Economic Association."
2007," This paper presents empirical evidence and a theoretical foundation in favor of the view that the retirement age decision affects older workers' employment prior to retirement. To the extent that there are search frictions on the labor market, the return on jobs is determined by their expected duration: The time to retirement is then key to understanding older workers' employment. Countries with a retirement age of 60 are indeed characterized by lower employment rates for workers aged 55-59. Based on the French Labor Force Survey, we show that the likelihood of employment is significantly affected by the distance to retirement, in addition to age and other relevant variables. We then extend McCall's job search model by explicitly integrating life-cycle features with the retirement decision. Using simulations, we show that the distance effect in interaction with the generosity of unemployment benefits and the depressed demand for older workers explains the low rate of employment just before the eligibility age for the Social Security pension. Finally, we show that implementing actuarially fair schemes not only extends the retirement age, but also encourages a more intensive job search by older unemployed workers. (JEL: J22, J26, H55) (c) 2010 by the European Economic Association."
2008," This paper uses a natural experiment to document the impact of social pressure on voting behavior. The main hypothesis is that social pressure creates incentives to vote for the purpose of being seen at the voting act. This incentive is particularly high in small and close-knit communities. Empirically, I analyze the effect of postal voting on voter participation in Switzerland. Optional postal voting decreased the voting costs, but simultaneously removed the social pressure to vote. In spite of the large reduction in voting costs, the effect on aggregate turnout was small. However, voter participation was more negatively affected in the smaller communities. This lends support to the view that social incentives played a role for certain people's voting decisions. (JEL: H0, Z13) (c) 2010 by the European Economic Association."
2009," Stricter laws require more incisive and costlier enforcement. Because enforcement activity depends both on available tax revenue and the honesty of officials, the optimal legal standard of a benevolent government is increasing in per capita income and decreasing in officials' corruption. In contrast to the ""tollbooth view"" of regulation, the standard chosen by a self-interested government is a non-monotonic function of officials' corruption, and can be either lower or higher than that chosen by a benevolent regulator. International evidence on environmental regulation shows that standards correlate positively with per-capita income, and negatively with corruption, consistent with the model's predictions for benevolent governments. (JEL: D73, K42, L51) (c) 2010 by the European Economic Association."
2010," What is the optimal allocation of prizes in an innovation race? Should the winner take all, or is it preferable that the original inventor shares the market with subsequent independent duplicators? Some recent papers in law and economics have argued that the latter, more permissive solution is socially preferable under mild conditions. We re-examine that issue, arguing that a permissive regime may turn the innovation race into a waiting game, reducing the power of incentives, and may invite socially wasteful duplicative R&D; expenditures. In a model that accounts for these effects, the winner-take-all system turns out to be preferable in a broad set of circumstances, especially in highly innovative industries. (JEL: K11, L1, O34) (c) 2010 by the European Economic Association."
2011," Does culture have a causal effect on economic development? The data on European regions suggest that it does. Culture is measured by indicators of individual values and beliefs, such as trust and respect for others, and confidence in individual self determination. To isolate the exogenous variation in culture, we rely on two historical variables used as instruments: the literacy rate at the end of the 19th century, and the political institutions in place over the past several centuries. The political and social history of Europe provides a rich source of variation in these two variables at a regional level. The exogenous component of culture due to history is strongly correlated with current regional economic development, after controlling for contemporaneous education, urbanization rates around 1850, and national effects. (JEL: O10, F10, P10, N13) (c) 2010 by the European Economic Association."
2012," This paper reports the results of experiments designed to test the theory of the optimal composition of prizes in contests. In the aggregate the behavior of subjects is consistent with that predicted by the theory, but we find that such aggregate results mask an unexpected compositional effect on the individual level. Whereas theory predicts that subject efforts are continuous and increasing functions of ability, the actual efforts of our laboratory subjects bifurcate. Low-ability workers drop out and exert little or no effort, and high-ability workers try too hard. This bifurcation, which is masked by aggregation, can be explained by assuming loss aversion on the part of the subjects. (JEL: C92, D44, D72, D82, J31) (c) 2010 by the European Economic Association."
2013," Societies are characterized by customs governing the allocation of non-market goods such as marital partnerships. We explore how such customs affect the educational investment decisions of young singles and the subsequent joint labor supply decisions of partnered couples. We consider two separate matching paradigms-one where partners marry for money and the other where partners marry for romantic reasons orthogonal to productivity or debt. Whereas marrying for money generates greater investment efficiency, romantic matching, by increasing the number of educated and talented women who participate in the labour market, increases aggregate productivity. (JEL: I21, J12, J16, J41) (c) 2010 by the European Economic Association."
2014," This paper investigates the economic effects on firms' policies of differences in law enforcement. We find that in judicial districts where trials are longer, bank financing is more costly and firms are smaller. However, we do not find any significant relation between law enforcement and firms' leverage ratio. We rationalize our results within a two-region dynamic general equilibrium model with asymmetric information and collateralized credit contracts. We find that a stronger enforcement of creditors' rights not only improves credit conditions (partial equilibrium effect), but also fosters individual capital accumulation (general equilibrium effect). In line with this theoretical prediction, we find a positive relation between individual savings and quality of legal enforcement. (JEL: E20, K40, G32) (c) 2010 by the European Economic Association."
2015," We present a field experiment to assess the effect of own and peer wage variations on actual work effort of employees with hourly wages. Work effort neither reacts to an increase of the own wage, nor to a positive or negative peer comparison. This result seems at odds with numerous laboratory experiments that show a clear own wage sensitivity on effort. In an additional real-effort laboratory experiment we show that explicit cost and surplus information that enables an exact calculation of an employer's surplus from the work contract is a crucial prerequisite for a positive wage-effort relation. This demonstrates that an employee's reciprocity requires a clear assessment of the surplus at stake. (JEL: C91, C92, J41) (c) 2010 by the European Economic Association."
2016," We analyze the effect of turnout requirements in referenda in the context of a group turnout model. We show that a participation quorum requirement may reduce the turnout so severely that it generates a ""quorum paradox"": In equilibrium, the expected turnout exceeds the participation quorum only if this requirement is not imposed. Furthermore, a participation quorum does not necessarily imply a bias for the status quo. We also show that in order to induce a given expected turnout and avoid the quorum paradox, the quorum should be set at a level that is lower than half the target. Finally, we argue that a super majority requirement to overturn the status quo is never equivalent to a participation quorum. (JEL: D72) (c) 2010 by the European Economic Association."
2017," In this paper, we aim to design a monetary policy for the euro area that is robust to the high degree of model uncertainty at the start of monetary union and allows for learning about model probabilities. To this end, we compare and ultimately combine Bayesian and worst-case analysis using four reference models estimated with pre-European Monetary Union (EMU) synthetic data. We start by computing the cost of insurance against model uncertainty, that is, the relative performance of worst-case or minimax policy versus Bayesian policy. While maximum insurance comes at moderate costs, we highlight three shortcomings of this worst-case insurance policy: (i) prior beliefs that would rationalize it from a Bayesian perspective indicate that such insurance is strongly oriented towards the model with highest baseline losses; (ii) the minimax policy is not as tolerant towards small perturbations of policy parameters as the Bayesian policy; and (iii) the minimax policy offers no avenue for incorporating posterior model probabilities derived from data available since monetary union. Thus, we propose preferences for robust policy design that reflect a mixture of the Bayesian and minimax approaches. We show how the incoming EMU data may then be used to update model probabilities, and investigate the implications for policy. (JEL: E52, E58, E61) (c) 2010 by the European Economic Association."
2018," How much do migrants stand to gain in income from moving across borders? Answering this question is complicated by non-random selection of migrants from the general population, which makes it hard to obtain an appropriate comparison group of non-migrants. New Zealand allows a quota of Tongans to immigrate each year with a random ballot used to choose among the excess number of applicants. A unique survey conducted by the authors allows experimental estimates of the income gains from migration to be obtained by comparing the incomes of migrants to those who applied to migrate, but whose names were not drawn in the ballot, after allowing for the effect of non-compliance among some of those whose names were drawn. We also conducted a survey of individuals who did not apply for the ballot. Comparing this non-applicant group to the migrants enables assessment of the degree to which non-experimental methods can provide an unbiased estimate of the income gains from migration. We find evidence of migrants being positively selected in terms of both observed and unobserved skills. As a result, non-experimental methods other than instrumental variables are found to overstate the gains from migration by 20-82%, with difference-in-differences and bias-adjusted matching estimators performing best among the alternatives to instrumental variables. (JEL: J61, F22, C21) (c) 2010 by the European Economic Association."
2019," The economics of public policy has suffered from ""collective amnesia"": we have forgotten or ignored much of the tradition of public policy in imperfect economies whose foundations were laid by James Meade and Paul Samuelson. This has been associated with a period of around two decades from the early 1980s to the early 2000s where the economics of public policy has ""bent to political winds"" and has fed arguments for government to get out of the way and leave everything to the markets, to self-interest and to self-regulation. This has manifested itself via the choice of models (those which imply, often directly from assumptions, passive government), patterns of teaching (the marginalisation of public economies in imperfect economics) and ""compartmentalisation."" Examples in climate change where this amnesia has misled include approaches to discounting and the failure to make non-marginal change central to analysis. On the other hand, creative application of modern public economics gives interesting results such as the possibility of making both current and future generations better off and of informed discussion complementing economic instruments. There are strong formal analogies between policy on climate change and on behavioural economics. Indeed, there seems to be great potential in the combination of these two fields. (JEL: A10, A12, D61, D62, D63) (c) 2010 by the European Economic Association."
2020," This lecture examines the causes of the recent financial crisis and subsequent recession. On the macroeconomic side, the Great Moderation encouraged an overly optimistic assessment of risk. Combined with low interest rates, reflecting both loose monetary policy and relatively high Asian savings rates, that encouraged a build-up of excessive leverage in the banking system. On the microeconomic side, distorted incentives led to a concentration and mispricing of risk. Informational complexities associated with new financial assets and the interconnectedness of financial institutions then resulted in the closure of funding markets and a flight to safety when loan defaults rose unexpectedly. The episode indicates the need to focus on agency and information problems between banks and their funders in addition to those between the banks and their borrowers. It also suggests that the process of financial intermediation should play a more prominent role in macroeconomic models. (JEL: E32, E44, E52, E58, F32, G01, G21) (c) 2010 by the European Economic Association."
2021," Patent enforcement in developing countries generates considerable controversy, especially when patents involve potentially life-saving drugs. This paper argues that common concerns regarding the effects of patents on prices and on research incentives of pharmaceutical multinationals are misplaced. Rather, the most significant effects are likely to concern access to patented drugs in poor countries. Because prices in developing countries are much lower than in the developed world, multinationals may choose to enter such markets with a delay, or not at all, implying a complete loss of access to patented drugs in developing countries. Even when multinationals enter countries like India, their marketing and distribution networks are not currently built out, leading to limited access within the country. Such considerations may provide a justification for policies targeting access in the short and medium run, such as compulsory licensing. (JEL: O34, D12, D4, L65, F13) (c) 2010 by the European Economic Association."
2022," When should expertise be shared in markets and when in firms? Knowledge exchanges in the market involve less information about the quality of the provider's expertise, but facilitate good utilization of experts' knowledge. In a firm, management holds soft information about individuals' expertise and thus improves on the matching of experts to problems; however, the usage of experts is not smooth and thus firms experience over- or underutilization of experts' time. Thus the trade-off between firms and markets is between utilization (the market allows for better, smoother, utilization of knowledge than firms) and the quality of matching between problems and problem solvers (the market provides less information about experts' quality). (JEL: D21, L22) (c) 2010 by the European Economic Association."
2023," We examine how cheap talk communication between managers within the same firm depends on the type of decisions that the firm makes. A firm consists of a headquarters and two operating divisions. Headquarters is unbiased but does not know the demand conditions in the divisions' markets. Each division manager knows the demand conditions in his market but is also biased toward his division. The division managers communicate with headquarters, which then sets either the prices or quantities for each division. The quality of communication depends on whether headquarters sets prices or quantities. This is the case even though, once communication has taken place, expected profits are the same whether headquarters sets prices or quantities. (JEL: D21, D83, L20) (c) 2010 by the European Economic Association."
2024," I show that cutting the flow of information between a principal and an agent can increase the power of the incentives of the agent to reveal private information. (JEL: D23, D82, D86, L20) (c) 2010 by the European Economic Association."
2025," This paper studies human capital investment in a spatial setting with interpersonal complementarities. A mixture of local and global social interactions affects the cost of acquiring education, and the return to human capital is determined endogenously in the market. We study how spatially segregated investment equilibria are affected by an increase in the relative importance of global vis-à-vis local interactions. Per capita income level, equality, and welfare are shown to improve if the skilled constitute a majority to begin with, and if not, these implications are reversed. We also examine the effects of wider local neighborhoods, and lower mobility costs, and study a related two-group model based on social distance. (JEL: D31, O15, D85) (c) 2010 by the European Economic Association."
2026," This paper exploits cross-country variation in the degree of geographical isolation, prior to the advent of seafaring and airborne transportation technologies, to examine its impact on the course of economic development across the globe. The empirical investigation establishes that prehistoric geographical isolation has generated a persistent beneficial effect on the process of development and contributed to the contemporary variation in the standard of living across countries. (JEL: O10, F15, N7) (c) 2010 by the European Economic Association."
2027," We present a model in which individuals' preferences are defined over their consumption, transfers to offspring, and social status associated with income. We show that a separating equilibrium exists where individuals' expenditure on conspicuous consumption is a signal for their unobserved income. In this equilibrium, poor families that climb up the social ladder by the accumulation of wealth engage in conspicuous consumption that prevents them from escaping poverty. Our model may explain why the poor make some choices that do not appear to help them escape poverty. (JEL: D91, O11, O12, O15) (c) 2010 by the European Economic Association."
2028," In recent research, we have proposed a new framework for examining the determinants of income inequality, which emphasizes firm and worker heterogeneity and selection into export markets. In this paper, we use our framework to examine how wage inequality and unemployment vary across workers with different abilities. Both in the closed and open economy, the unemployment rate is decreasing in worker ability, whereas both the average wage and wage inequality are increasing in worker ability. Upon opening the economy to trade, however, intermediate-ability workers experience reductions in average wages and increases in unemployment rates relative to both lower and higher ability workers. (JEL: F12, F16, E24) (c) 2010 by the European Economic Association."
2029," We extend the theoretical framework in Cuñat and Melitz (2007) to a many-country setup where countries exhibit different degrees of labor market flexibility. We rely on the insights from a recent paper by Costinot (2009) to obtain precise predictions about comparative advantage in this setting: countries with more flexible labor markets specialize in more volatile industries. (JEL: F1, F16) (c) 2010 by the European Economic Association."
2030," We study how financial frictions and the saving rate shape the long-run effects of trade liberalization on income, consumption, and the distribution of wealth in financially underdeveloped economies. In our model, regardless of whether the capital account is open or not, trade liberalization reduces the share of wealth in the hands of entrepreneurs and may well reduce steady-state consumption and income. Furthermore, trade opening is more likely to reduce steady-state consumption and output, the higher is the level of financial development. For economies with an open capital account, a higher saving rate also increases the likelihood that a trade liberalization leads to a reduction in steady-state consumption and output. (JEL: E2, F1, F2, F3, F4) (c) 2010 by the European Economic Association."
2031," We present a model of financial market liquidity provided by financially constrained intermediaries. We show that market liquidity increases with the level of intermediary capital. We also characterize conditions under which intermediaries play a stabilizing or destabilizing role in markets. Finally, we sketch a number of areas, including welfare and public policy, on which the model can shed light. (JEL: G01, G11, G12, G15, G18) (c) 2010 by the European Economic Association."
2032," A model is presented of a uniform price auction where bidders compete in demand schedules; the model allows for common and private values in the absence of exogenous noise. It is shown how private information yields more market power than the levels seen with full information. Results obtained here are broadly consistent with evidence from asset auctions, may help explain the response of central banks to the crisis, and suggest potential improvements in the auction formats of asset auctions. (JEL: D44, D82, G14, E58) (c) 2010 by the European Economic Association."
